location,area_sqft,bedrooms,bathrooms,age_years,parking_spaces,floor,price_inr
Coimbatore,3520,5,4,3,2,1,23976000
Bangalore,3266,5,5,4,1,14,38452000
Madurai,2632,2,2,8,0,14,12409000
Coimbatore,3797,4,3,30,0,12,22487000
Chennai,1105,1,1,5,0,5,10688000
Trichy,3920,6,5,27,0,0,16148000
Coimbatore,3669,5,5,21,0,11,22328000
Coimbatore,2438,4,4,28,2,6,13780000
Chennai,3254,4,4,25,0,15,29061000
Bangalore,2497,3,3,10,0,11,27895000
Bangalore,1604,2,2,25,1,8,16757000
Trichy,3490,5,5,5,0,15,16141000
Hyderabad,1523,2,2,9,1,12,12563000
Madurai,1766,2,3,6,0,7,8555000
Bangalore,2494,3,3,4,0,0,28564000
Chennai,3623,5,5,2,1,1,36063000
Hyderabad,2013,3,3,5,2,7,18070000
Chennai,2404,4,4,3,1,8,23954000
Madurai,797,1,1,11,1,0,3036000
Hyderabad,1061,1,1,2,1,2,8811000
Coimbatore,848,2,2,1,0,11,6577000
Bangalore,905,2,2,30,0,12,8987000
Trichy,3734,4,3,2,1,0,16462000
Madurai,3639,4,4,2,0,8,18694000
Coimbatore,3568,5,5,0,2,1,23467000
Chennai,847,2,2,4,1,11,8884000
Hyderabad,925,2,1,16,0,13,7586000
Chennai,1646,2,2,25,1,13,13989000
Chennai,2657,3,3,22,0,9,24776000
Coimbatore,1836,2,1,17,1,10,10315000
Coimbatore,2381,3,2,2,2,14,16255000
Trichy,1264,2,3,24,0,9,4463000
Bangalore,3244,4,3,1,1,7,37879000
Bangalore,1764,3,4,19,0,12,19867000
Hyderabad,886,2,2,12,1,9,7527000
Chennai,3287,5,5,27,0,13,30752000
Chennai,3855,5,5,9,1,8,37724000
Hyderabad,702,1,2,19,1,13,5120000
Chennai,2200,3,3,13,0,0,20748000
Coimbatore,3587,5,5,16,1,0,22681000
Bangalore,3157,5,5,29,2,1,35575000
Madurai,3691,5,5,22,2,8,17499000
Coimbatore,2124,3,3,12,0,11,14194000
Bangalore,1971,3,3,13,1,3,23501000
Madurai,3168,4,4,21,2,2,14835000
Madurai,1195,1,1,10,1,13,4376000
Bangalore,1500,2,2,5,0,12,17216000
Bangalore,2783,3,2,14,1,10,31809000
Coimbatore,3023,3,2,2,0,7,19900000
Chennai,1074,2,2,5,0,6,10630000
Chennai,2455,4,3,13,1,0,23589000
Chennai,1945,3,3,24,1,3,17472000
Coimbatore,2431,3,4,24,2,14,15515000
Coimbatore,4053,6,5,8,1,5,27483000
Coimbatore,922,1,1,13,2,11,6168000
Coimbatore,4184,6,5,4,1,11,28498000
Bangalore,2246,2,2,23,2,4,24529000
Hyderabad,3391,5,4,7,0,3,29049000
Chennai,2157,3,2,24,0,11,18717000
Chennai,1754,2,1,26,2,1,15444000
Coimbatore,3386,4,3,21,2,7,20969000
Hyderabad,3091,4,5,10,2,14,27280000
Hyderabad,1161,3,3,29,0,11,8725000
Coimbatore,3154,5,5,21,0,12,19891000
Hyderabad,3324,4,4,20,2,1,27302000
Hyderabad,2027,3,4,26,1,3,16699000
Hyderabad,3936,5,4,27,0,4,32066000
Bangalore,2925,4,3,2,2,4,33499000
Chennai,1834,2,2,27,2,3,15383000
Bangalore,688,1,2,23,0,15,7554000
Chennai,3046,4,4,6,2,2,29297000
Bangalore,1392,1,1,9,2,11,14647000
Madurai,3336,5,5,23,1,9,17064000
Chennai,2514,4,3,6,1,9,24812000
Chennai,2307,2,2,14,0,3,20683000
Bangalore,1231,2,2,21,2,4,12905000
Bangalore,3176,5,4,20,2,9,36732000
Coimbatore,1239,2,2,28,2,4,6083000
Hyderabad,2133,3,3,3,2,11,19553000
Coimbatore,3619,5,5,9,0,0,24025000
Coimbatore,3918,5,5,30,1,1,23905000
Bangalore,4162,5,5,17,1,11,47550000
Madurai,4051,6,5,7,2,9,21137000
Chennai,2624,4,5,8,1,0,26019000
Chennai,1361,3,2,10,1,14,12856000
Chennai,3629,5,4,17,0,0,32950000
Coimbatore,3496,5,4,8,2,15,23768000
Hyderabad,4166,5,5,19,1,11,35159000
Chennai,2961,4,3,13,0,15,28154000
Hyderabad,1152,2,2,18,2,15,9515000
Chennai,2435,3,2,4,0,5,23010000
Coimbatore,2241,3,2,19,0,12,13920000
Bangalore,3643,5,5,28,0,3,40455000
Bangalore,2044,2,1,4,1,7,23075000
Bangalore,1816,2,2,10,0,3,20135000
Hyderabad,934,1,1,21,2,7,7537000
Bangalore,3616,5,5,19,1,13,40474000
Chennai,3332,5,4,20,0,6,31218000
Chennai,796,1,1,17,0,1,5389000
Trichy,2190,2,2,21,1,5,8181000
Trichy,2353,3,3,18,0,12,9585000
Coimbatore,2316,4,4,2,2,8,15353000
Bangalore,3913,5,5,23,0,8,44218000
Trichy,1185,1,1,13,1,6,4200000
Coimbatore,1737,1,1,1,0,4,9952000
Coimbatore,1292,2,3,12,0,9,8677000
Bangalore,1516,2,1,13,0,10,17394000
Bangalore,3871,5,5,2,0,14,46346000
Chennai,3990,6,5,30,2,9,37014000
Trichy,808,1,2,6,2,15,4080000
Bangalore,2894,4,4,10,2,13,34403000
Chennai,1476,3,3,13,0,1,14690000
Bangalore,1333,1,1,25,2,6,13900000
Hyderabad,1687,2,2,23,1,6,12345000
Chennai,1340,1,1,23,0,0,10661000
Madurai,2390,3,4,7,0,2,12325000
Coimbatore,4185,5,5,26,1,12,25115000
Coimbatore,2732,4,5,25,1,5,17102000
Bangalore,3218,5,4,14,0,2,37954000
Hyderabad,2401,3,2,16,2,4,19878000
Hyderabad,699,2,2,1,2,4,7679000
Hyderabad,948,1,1,23,1,2,6325000
Chennai,1604,3,4,29,2,1,13944000
Bangalore,1515,2,2,14,2,12,17236000
Chennai,3634,5,5,16,2,13,34233000
Hyderabad,3645,5,4,15,0,7,30133000
Bangalore,3682,6,5,2,2,9,44580000
Chennai,2914,4,3,19,1,14,27712000
Chennai,2624,3,3,22,2,13,23375000
Hyderabad,2955,4,4,28,2,0,24084000
Chennai,2094,3,3,28,0,15,18368000
Trichy,3029,4,5,15,1,1,13561000
Hyderabad,3471,5,5,29,0,0,28238000
Bangalore,3359,4,5,16,0,6,38656000
Hyderabad,2829,4,4,19,1,11,23618000
Chennai,856,1,1,18,2,1,7584000
Trichy,3224,4,4,30,2,4,12931000
Hyderabad,1951,3,3,22,1,4,15850000
Coimbatore,3290,3,3,3,0,6,20913000
Chennai,2565,4,3,2,1,15,26519000
Hyderabad,3779,4,3,12,2,5,31772000
Hyderabad,1851,2,3,15,2,3,15449000
Trichy,3957,5,4,20,0,1,15879000
Hyderabad,3648,5,5,14,0,3,30438000
Hyderabad,1825,2,3,15,2,2,15479000
Bangalore,2363,4,5,28,0,9,26341000
Bangalore,2536,3,3,10,0,6,27899000
Hyderabad,3379,4,5,15,0,7,28876000
Bangalore,3097,4,4,17,1,13,34970000
Chennai,3675,5,5,14,1,9,35696000
Madurai,1963,3,3,30,1,2,7950000
Madurai,2442,3,3,29,0,6,10341000
Chennai,2180,3,3,15,2,5,20894000
Hyderabad,3879,5,4,13,2,13,32568000
Chennai,1732,1,2,18,1,4,14462000
Coimbatore,2734,3,2,5,0,2,17396000
Bangalore,1076,1,2,13,1,11,12245000
Hyderabad,3669,5,5,6,2,6,31347000
Coimbatore,2014,3,3,4,1,1,12725000
Coimbatore,1859,2,2,2,0,11,12801000
Chennai,2719,4,3,18,1,3,24785000
Trichy,2421,4,4,0,1,13,12193000
Chennai,3661,4,4,20,1,13,32926000
Chennai,2537,3,3,13,1,5,23259000
Hyderabad,2485,3,3,11,0,8,20796000
Bangalore,1022,2,1,23,2,9,10982000
Madurai,727,2,1,16,1,10,2716000
Madurai,2065,3,3,22,1,1,9976000
Bangalore,4194,4,4,21,1,5,46407000
Trichy,3907,4,4,0,1,2,17716000
Bangalore,2883,3,4,6,0,11,34147000
Hyderabad,2890,4,3,17,2,1,23981000
Bangalore,2040,2,2,30,0,8,20804000
Trichy,1280,2,3,4,1,11,6417000
Chennai,680,1,2,3,0,15,7692000
Chennai,1853,3,2,29,0,4,16390000
Bangalore,1773,2,1,29,0,0,17405000
Trichy,1330,1,1,5,2,11,5894000
Madurai,1570,2,1,12,1,0,7050000
Coimbatore,738,1,1,19,1,1,2920000
Madurai,2808,4,4,6,2,15,14923000
Madurai,3943,5,5,10,0,13,20021000
Hyderabad,3103,4,4,12,1,11,26969000
Bangalore,2241,4,4,19,1,13,26250000
Coimbatore,2142,3,3,9,1,1,13712000
Coimbatore,1742,3,4,12,0,1,11220000
Bangalore,1155,1,2,8,2,4,13407000
Chennai,2775,3,3,23,0,0,24322000
Coimbatore,2661,4,4,4,2,14,18730000
Bangalore,675,1,1,7,2,0,7521000
Trichy,2125,2,3,7,1,8,9045000
Bangalore,1637,2,1,28,0,13,16254000
Chennai,1254,2,2,29,0,11,10815000
Madurai,3146,4,5,15,2,3,15504000
Chennai,2517,4,4,4,2,7,25768000
Chennai,2900,5,5,23,2,8,27023000
Hyderabad,3183,5,4,15,0,12,27190000
Madurai,4136,6,5,26,1,6,20918000
Chennai,3500,5,5,11,0,4,32931000
Bangalore,2852,3,3,30,2,12,29933000
Coimbatore,3771,5,4,25,1,14,24099000
Trichy,2345,3,3,6,2,7,10512000
Hyderabad,4146,6,5,22,2,0,34578000
Chennai,3353,4,4,8,2,8,31844000
Chennai,2961,4,4,10,1,14,28613000
Chennai,3857,6,5,7,1,15,37283000
Chennai,2479,3,3,21,1,6,22291000
Coimbatore,3209,5,5,8,0,2,21659000
Chennai,1661,2,2,19,0,9,14100000
Hyderabad,4070,5,4,18,1,13,33645000
Coimbatore,2863,4,5,23,2,15,18009000
Hyderabad,3426,5,5,30,1,0,26944000
Chennai,2286,4,4,0,2,4,22943000
Madurai,3728,6,5,30,0,7,17510000
Coimbatore,913,1,2,3,1,1,5923000
Coimbatore,1055,2,2,16,1,14,6344000
Chennai,2450,3,3,10,1,1,22975000
Chennai,3250,4,5,19,0,10,29962000
Trichy,3523,5,5,22,0,14,15658000
Bangalore,2212,3,2,26,2,10,24650000
Bangalore,2956,4,4,12,1,12,33884000
Hyderabad,2614,4,4,28,0,4,21015000
Coimbatore,4064,6,5,9,0,13,26979000
Trichy,2972,5,5,6,0,6,14531000
Bangalore,2130,3,2,11,2,0,24913000
Trichy,4093,5,5,16,0,5,18161000
Chennai,1030,2,3,20,2,5,8268000
